dim,ts_name,best_value,steps_to_best_value
275,E,361522.42007080687,64
275,F_2,363990.9342592719,2083
275,G,366314.7974616948,2718
275,G2,361516.5502371261,2561
275,G3_1,359639.5998592517,1087
275,G3_2,362862.2872166899,1526
275,G3_3,360907.6101947334,1242
275,G4_1,361619.81016484724,2186
275,G4_2,362756.7313466653,1127
275,G4_3,355457.1782084951,2733
275,G6_V1_1,353820.7542294328,2069
275,G6_V1_2,362555.887585537,1414
275,G6_V1_3,355424.48622523743,2716
275,G6_V0_1,357071.0520496618,2991
275,G6_V0_2,359338.54053231503,116
275,G6_V0_3,361059.61087571585,1890
275,Const_100,365369.6442967117,387
275,Linear,368293.1393842621,28093
275,ReciprocalV1,365486.35947747657,29147
275,ReciprocalV2,360189.4749326,4636
275,GeometricV1,362890.03560217575,16212
275,GeometricV2,353129.27364665514,30161
275,LogarithmicV1,361466.9854760017,12833
275,LogarithmicV2,359488.5693298992,18220
280,E,376961.72810149373,1052
280,F_2,378672.7905766249,17
280,G,383396.79196988675,514
280,G2,378030.82954810705,2548
280,G3_1,386695.67437141825,2975
280,G3_2,371459.2539006669,2199
280,G3_3,377202.208311324,868
280,G4_1,378808.88567958097,1859
280,G4_2,379902.2686773024,2095
280,G4_3,380893.6495520578,172
280,G6_V1_1,381087.54602233594,2971
280,G6_V1_2,384241.24793771555,2841
280,G6_V1_3,380777.93558130827,2707
280,G6_V0_1,376232.58893231576,131
280,G6_V0_2,387400.51227217476,515
280,G6_V0_3,385851.6661304874,43
280,Const_100,379944.188378166,2707
280,Linear,380728.1046751951,4330
280,ReciprocalV1,380202.50631109014,14434
280,ReciprocalV2,387976.85784680437,26346
280,GeometricV1,383477.6937238696,29047
280,GeometricV2,378524.6542157299,22221
280,LogarithmicV1,383578.5427327274,25451
280,LogarithmicV2,383098.05025613075,28471
251,E,288135.6603457615,449
251,F_2,291169.11704955494,2404
251,G,288544.88670663914,1506
251,G2,285443.49650578696,232
251,G3_1,284981.36476447876,1757
251,G3_2,286778.5215886858,172
251,G3_3,287704.3296815844,288
251,G4_1,283801.46371165616,1878
251,G4_2,286896.8338946597,262
251,G4_3,290074.25156925956,2273
251,G6_V1_1,291942.0124766111,1968
251,G6_V1_2,287824.13055471086,259
251,G6_V1_3,289078.8046922439,797
251,G6_V0_1,288449.6992853935,1499
251,G6_V0_2,289420.1860706147,171
251,G6_V0_3,289241.0352210224,2028
251,Const_100,284135.34233176126,2157
251,Linear,283727.58349193155,9559
251,ReciprocalV1,284357.0856471452,20554
251,ReciprocalV2,283502.559496965,18442
251,GeometricV1,288201.1885478058,14623
251,GeometricV2,282630.1272873841,2808
251,LogarithmicV1,290666.50133067335,12480
251,LogarithmicV2,287654.5887663381,5045
223,E,236212.35120045368,1025
223,F_2,230290.21701226497,2071
223,G,234843.1559915474,1237
223,G2,235132.4058690824,369
223,G3_1,232103.00572962078,1263
223,G3_2,235410.37462982134,780
223,G3_3,232020.92742541496,1979
223,G4_1,235219.6949464933,1724
223,G4_2,233265.25892733005,802
223,G4_3,236690.513826162,1512
223,G6_V1_1,236233.97956569045,1148
223,G6_V1_2,224915.43970262073,267
223,G6_V1_3,230270.85380271953,171
223,G6_V0_1,231083.13193760335,115
223,G6_V0_2,234960.59819822945,834
223,G6_V0_3,236466.4095818112,1185
223,Const_100,237976.03833960582,16384
223,Linear,238671.81603450124,24834
223,ReciprocalV1,234527.22432396025,13984
223,ReciprocalV2,237749.7836364173,21600
223,GeometricV1,232482.71514963845,17482
223,GeometricV2,226505.41946371165,6509
223,LogarithmicV1,234954.35116305752,23622
223,LogarithmicV2,232136.20755495282,24588
105,E,46701.77027007735,1133
105,F_2,47996.743197238495,687
105,G,48469.0513684925,27
105,G2,48215.41168285937,759
105,G3_1,48515.94939787294,964
105,G3_2,48343.17979315447,646
105,G3_3,48754.15143525798,551
105,G4_1,48094.355400174245,491
105,G4_2,46869.776856316435,882
105,G4_3,47635.3958253997,1029
105,G6_V1_1,47496.11329727682,502
105,G6_V1_2,48641.98308849474,451
105,G6_V1_3,48140.300092101694,857
105,G6_V0_1,48842.16164091509,687
105,G6_V0_2,48165.56037953282,1079
105,G6_V0_3,48508.84322885328,866
105,Const_100,47633.54199158793,2655
105,Linear,48219.90863806874,7917
105,ReciprocalV1,47559.706756964464,5746
105,ReciprocalV2,48469.98779143818,6041
105,GeometricV1,47987.91377719866,6718
105,GeometricV2,48860.4023241391,6367
105,LogarithmicV1,47673.67358135309,6655
105,LogarithmicV2,49262.496672241934,7962
235,E,253875.75477480754,2411
235,F_2,258440.5454055718,1373
235,G,260563.78037242035,1131
235,G2,256380.2877966875,451
235,G3_1,258868.53254921135,135
235,G3_2,259083.74956442174,546
235,G3_3,262073.11077507347,1865
235,G4_1,259430.4208041096,2030
235,G4_2,260624.72513908637,428
235,G4_3,259568.1919453838,1450
235,G6_V1_1,254285.21842110387,444
235,G6_V1_2,259694.37888237715,1717
235,G6_V1_3,256087.76890014505,655
235,G6_V0_1,258306.9123853599,2390
235,G6_V0_2,258726.4788663249,926
235,G6_V0_3,257626.2085948029,2219
235,Const_100,263035.38268599263,18148
235,Linear,258686.2033396712,2383
235,ReciprocalV1,256079.90583605587,24612
235,ReciprocalV2,253745.3359111227,9669
235,GeometricV1,259259.74266088326,5537
235,GeometricV2,255506.47093299497,9453
235,LogarithmicV1,254973.56591407102,3883
235,LogarithmicV2,258194.92926863767,14219
269,E,346947.9958479633,2082
269,F_2,346527.8547189203,1891
269,G,347803.7969579383,1423
269,G2,348560.77512180613,2581
269,G3_1,347951.2077791939,1368
269,G3_2,341922.3335219692,1013
