dim,ts_name,best_value,steps_to_best_value
89,E,36594.58700610069,585
89,F_2,36239.429761966996,417
89,G,36180.505412254446,686
89,G2,34305.11628108481,9
89,G3_1,35579.260402518215,162
89,G3_2,35167.25543349452,745
89,G3_3,35223.714504336946,154
89,G4_1,34936.07013945845,120
89,G4_2,35147.092885017395,287
89,G4_3,36007.51363492398,711
89,G6_V1_1,35336.687591442416,874
89,G6_V1_2,34492.157674932045,61
89,G6_V1_3,35598.94651846622,275
89,G6_V0_1,35288.73674456629,683
89,G6_V0_2,34659.1734252791,298
89,G6_V0_3,35666.84983014459,492
89,Const_100,36166.98972966464,7974
89,Linear,35801.922528926356,6363
89,ReciprocalV1,35883.41000726622,3549
89,ReciprocalV2,35827.80628531605,2821
89,GeometricV1,35833.61656233389,6673
89,GeometricV2,35627.92499584358,1892
89,LogarithmicV1,35193.99320069916,8601
89,LogarithmicV2,35681.290879658416,7036
65,E,17840.10959949276,249
65,F_2,18451.7546494919,363
65,G,17809.25866903681,151
65,G2,18501.6169027294,529
65,G3_1,17693.49397989125,566
65,G3_2,18447.6160709136,386
65,G3_3,17730.09549192727,499
65,G4_1,18381.80405475344,532
65,G4_2,17886.88806905534,470
65,G4_3,17833.782011877578,675
65,G6_V1_1,18133.239391690262,52
65,G6_V1_2,18344.401675618054,294
65,G6_V1_3,18306.069705552298,694
65,G6_V0_1,18101.908881497384,203
65,G6_V0_2,18522.077823385265,64
65,G6_V0_3,18027.524767238574,11
65,Const_100,18842.128228489673,1316
65,Linear,16826.622690653894,4723
65,ReciprocalV1,17681.462942656966,5972
65,ReciprocalV2,18255.89516747144,55
65,GeometricV1,17446.831857017372,1438
65,GeometricV2,17152.430292428682,6515
65,LogarithmicV1,17955.108067187153,5401
65,LogarithmicV2,18590.742366069117,5483
51,E,10391.795522038901,371
51,F_2,10316.206706121515,184
51,G,9851.78102783028,83
51,G2,9767.838576430211,257
51,G3_1,10344.68125123366,579
51,G3_2,10780.51849229363,2
51,G3_3,9845.489285844069,350
51,G4_1,10350.192986244168,2
51,G4_2,10274.585837455586,420
51,G4_3,10168.040293502909,515
51,G6_V1_1,10568.295846319326,122
51,G6_V1_2,10342.770388435913,116
51,G6_V1_3,10070.663170052234,440
51,G6_V0_1,10510.607855546712,695
51,G6_V0_2,10736.105594393212,188
51,G6_V0_3,10514.094604602351,141
51,Const_100,10212.540018773598,5989
51,Linear,10195.987308210397,3748
51,ReciprocalV1,9733.121840917258,6490
51,ReciprocalV2,10494.818997297514,3175
51,GeometricV1,10753.127268773147,5923
51,GeometricV2,9787.89718388026,4918
51,LogarithmicV1,10533.752260683204,6043
51,LogarithmicV2,10323.041992879525,7434
242,E,274673.8895690399,453
242,F_2,273256.34405033634,4
242,G,278351.8604751396,1978
242,G2,268642.2077912254,918
242,G3_1,277039.3473939423,160
242,G3_2,274552.7453312669,168
242,G3_3,272966.99010809435,815
242,G4_1,273416.25417428766,2444
242,G4_2,276971.0032988363,1406
242,G4_3,277031.8772379904,943
242,G6_V1_1,275824.19907017384,1020
242,G6_V1_2,275941.5737720809,1447
242,G6_V1_3,274000.0466355607,195
242,G6_V0_1,277439.7448648825,942
242,G6_V0_2,272694.4573090672,1480
242,G6_V0_3,279053.6019070567,1154
242,Const_100,274252.07595927524,1923
242,Linear,273820.3153450292,4880
242,ReciprocalV1,278675.5549961051,14113
242,ReciprocalV2,277372.854844446,13063
242,GeometricV1,277173.1167055152,23846
242,GeometricV2,279996.4336454009,7579
242,LogarithmicV1,276059.0420883753,4164
242,LogarithmicV2,272464.81627772434,21230
92,E,38032.51717689992,906
92,F_2,38144.24063643612,395
92,G,36970.854015462945,527
92,G2,38225.08118529379,670
92,G3_1,35346.747950395344,319
92,G3_2,36542.85784268668,846
92,G3_3,37663.380632544264,647
92,G4_1,37804.263997928305,378
92,G4_2,38013.44688965682,433
92,G4_3,38691.908895165005,304
92,G6_V1_1,38269.10722368672,323
92,G6_V1_2,38347.78043296889,182
92,G6_V1_3,38561.5988159047,372
92,G6_V0_1,38912.16658540302,558
92,G6_V0_2,37968.51349862669,70
92,G6_V0_3,38097.78769449609,215
92,Const_100,37991.28301867371,9304
92,Linear,38141.15163858673,6075
92,ReciprocalV1,38037.04155110094,61
92,ReciprocalV2,39360.44974690848,2116
92,GeometricV1,37631.073811798815,8157
92,GeometricV2,37361.91669613555,5393
92,LogarithmicV1,38615.66861176235,64
92,LogarithmicV2,37088.75465588906,2160
281,E,375606.27708521776,2969
281,F_2,374665.54670905776,622
281,G,371635.2106925791,2629
281,G2,376964.028904528,2308
281,G3_1,373024.60706611455,1012
281,G3_2,379061.48842332314,1566
281,G3_3,375751.34000743023,1795
281,G4_1,373796.8467548428,2414
281,G4_2,376700.46372112376,1038
281,G4_3,379293.19322196936,348
281,G6_V1_1,369325.17471989885,687
281,G6_V1_2,372456.0989860095,2815
281,G6_V1_3,373634.7210331711,3075
281,G6_V0_1,375367.20344098785,174
281,G6_V0_2,375125.9592794564,2427
281,G6_V0_3,373389.2793032937,2780
281,Const_100,371381.1079083094,14074
281,Linear,373633.57908018475,14308
281,ReciprocalV1,374471.5975626639,881
281,ReciprocalV2,380048.04188054474,17955
281,GeometricV1,376436.81101861596,20705
281,GeometricV2,372734.3541786325,26655
281,LogarithmicV1,372102.09599350614,6536
281,LogarithmicV2,377308.70864948473,13670
281,E,361747.3775470904,1928
281,F_2,369304.24659013207,2310
281,G,372095.862823529,2005
281,G2,363871.99414203863,1032
281,G3_1,366266.71764129115,211
281,G3_2,367693.25473491376,621
281,G3_3,356403.723133018,2307
281,G4_1,367886.72765370057,1974
281,G4_2,368054.798212136,247
281,G4_3,363123.47217276343,195
281,G6_V1_1,370987.36816495506,2943
281,G6_V1_2,362822.3046825234,3047
281,G6_V1_3,369043.5998464666,3044
281,G6_V0_1,362734.70046288794,16
281,G6_V0_2,369707.71278683026,1744
281,G6_V0_3,360794.97465568146,2531
281,Const_100,369675.0075627999,24158
281,Linear,367962.63193220395,12715
281,ReciprocalV1,371459.18082301284,17548
281,ReciprocalV2,361173.1151011352,29856
281,GeometricV1,363960.5615359548,7707
281,GeometricV2,359453.83599482925,29072
281,LogarithmicV1,367592.0537679106,4169
281,LogarithmicV2,371378.7796247775,3780
118,E,62635.213015988564,295
118,F_2,62490.91096500465,927
118,G,61877.878905314006,392
118,G2,62597.2839998014,1089
118,G3_1,62499.99094014297,792
118,G3_2,62364.20593450652,1018
118,G3_3,63326.78614642505,904
118,G4_1,62170.230887820704,36
118,G4_2,61509.3504855821,539
118,G4_3,62892.59383480574,741
118,G6_V1_1,63187.89012217779,166
118,G6_V1_2,63514.19939250943,1117
118,G6_V1_3,63402.4949754225,872
118,G6_V0_1,63787.61908507197,566
118,G6_V0_2,63105.918496876875,41
118,G6_V0_3,63292.59501244165,652
118,Const_100,62615.5907543669,10936
118,Linear,64060.09003285318,10993
118,ReciprocalV1,62125.03447118578,8749
118,ReciprocalV2,63676.166617816365,1922
118,GeometricV1,63141.94169322489,3792
118,GeometricV2,62321.87217477762,3384
118,LogarithmicV1,63367.463408008174,746
118,LogarithmicV2,60769.05280898652,3141
78,E,27021.71745946988,282
78,F_2,27611.89519521411,433
78,G,28093.713506638716,455
78,G2,27292.356472609772,738
78,G3_1,27468.746557600443,449
78,G3_2,26546.447665567553,100
78,G3_3,26957.5215381412,526
78,G4_1,26812.762093985682,541
78,G4_2,27516.694185607623,462
78,G4_3,27122.99112141094,664
78,G6_V1_1,27005.91061778686,137
78,G6_V1_2,26817.625695510946,504
78,G6_V1_3,27577.5378401552,711
78,G6_V0_1,27513.12929944806,202
78,G6_V0_2,27648.358459851544,588
78,G6_V0_3,27339.01830415183,429
78,Const_100,27129.450033547808,113
78,Linear,27382.67448787056,3988
78,ReciprocalV1,28094.843565339754,1851
78,ReciprocalV2,26350.34400772434,6285
78,GeometricV1,27596.40495774141,7310
78,GeometricV2,27192.21676802742,1896
78,LogarithmicV1,27618.297733704378,4359
78,LogarithmicV2,27176.32532857992,3138
292,E,408485.79257680173,3241
292,F_2,407456.9710968109,3195
292,G,408580.8232091464,2342
292,G2,410926.4855631415,1506
292,G3_1,406840.2891028342,1145
292,G3_2,406866.3790885604,2447
292,G3_3,407515.4269975519,878
292,G4_1,406592.1835187676,375
292,G4_2,408269.43537017866,655
292,G4_3,407728.2310368769,1531
292,G6_V1_1,403723.2539285376,650
292,G6_V1_2,412363.57304046355,509
292,G6_V1_3,404344.5265662927,1375
292,G6_V0_1,399187.07137812197,1185
292,G6_V0_2,403034.69169450103,1616
292,G6_V0_3,404981.53477353073,1418
292,Const_100,409343.9599959884,26256
292,Linear,407022.70582919085,12615
292,ReciprocalV1,411861.44037612603,27137
292,ReciprocalV2,407666.68867806916,23853
292,GeometricV1,406371.34788685775,30190
292,GeometricV2,410312.4736291558,30765
292,LogarithmicV1,400352.03567409684,5603
292,LogarithmicV2,407208.82185638964,15249
180,E,145026.39877176797,1624
180,F_2,141452.80521781463,1429
180,G,144434.58060951243,262
180,G2,142743.9173752917,146
180,G3_1,145848.04222909847,710
180,G3_2,144158.36904733672,888
180,G3_3,146530.11956297446,188
180,G4_1,142368.53014932355,1467
180,G4_2,144028.0168184051,510
180,G4_3,144011.5025244113,922
180,G6_V1_1,142025.94124426506,4
180,G6_V1_2,144001.37932621394,1009
180,G6_V1_3,145614.45074400684,1254
180,G6_V0_1,143705.3346065188,1881
180,G6_V0_2,144714.36590307672,156
180,G6_V0_3,143830.4366453872,2009
180,Const_100,144828.57534167604,12249
180,Linear,143404.91329121028,19625
180,ReciprocalV1,144798.35973013003,8176
180,ReciprocalV2,142664.62524045625,20114
180,GeometricV1,144382.74362203167,4569
180,GeometricV2,143025.54978728728,20461
180,LogarithmicV1,142339.95145064575,3293
180,LogarithmicV2,141455.33853960916,14648
260,E,307003.31339849293,1497
260,F_2,316452.14602890273,856
260,G,308903.02390213514,2649
260,G2,305873.54443814,2364
260,G3_1,318914.02604983666,503
260,G3_2,309328.7843633376,1378
260,G3_3,320499.61970130354,373
260,G4_1,310191.10834888363,1918
260,G4_2,311694.1577843617,305
260,G4_3,321244.06369171344,639
260,G6_V1_1,306825.13843638205,272
260,G6_V1_2,308290.93499281607,513
260,G6_V1_3,315041.9569709824,285
260,G6_V0_1,314167.47217889904,1559
260,G6_V0_2,318112.34490567987,1620
260,G6_V0_3,313258.65737219277,1303
260,Const_100,317203.9640217877,554
260,Linear,313933.4065328681,1800
260,ReciprocalV1,316600.9366390494,18844
260,ReciprocalV2,319459.2367848738,6107
260,GeometricV1,308361.0280618309,21900
260,GeometricV2,310412.45031588804,18467
260,LogarithmicV1,314131.23886304186,1965
260,LogarithmicV2,317489.3638188728,24755
67,E,19117.59416132384,123
67,F_2,18873.21951761277,340
67,G,19304.19722887358,200
67,G2,19305.13459620054,343
67,G3_1,19437.954034417642,459
67,G3_2,19555.06233957653,514
67,G3_3,19309.068248183354,170
67,G4_1,18112.97028125074,170
67,G4_2,19942.876216407905,675
67,G4_3,19714.21006080123,488
67,G6_V1_1,18422.201515186323,520
67,G6_V1_2,18929.712974886934,430
67,G6_V1_3,19060.100194304967,691
67,G6_V0_1,19387.641681546473,496
67,G6_V0_2,18881.649941095915,395
67,G6_V0_3,19029.405262442313,86
67,Const_100,19276.022264648163,1753
67,Linear,19266.26225813204,1293
67,ReciprocalV1,18795.916605298473,3634
67,ReciprocalV2,18783.402354103873,5045
67,GeometricV1,19407.624248353754,3687
67,GeometricV2,17644.15367923299,7088
67,LogarithmicV1,18645.815840207557,1622
67,LogarithmicV2,18639.72360872856,2259
208,E,211560.77330748385,984
208,F_2,208798.7176537366,1489
208,G,205192.12535961316,758
208,G2,206821.40951238066,2273
208,G3_1,204516.7346134233,2315
208,G3_2,207882.41859451262,834
208,G3_3,208642.92401574462,1496
208,G4_1,196230.1579820865,2089
208,G4_2,208161.78188394802,675
208,G4_3,207222.06632335248,1685
208,G6_V1_1,199990.09137281872,2380
208,G6_V1_2,204635.49419939477,1887
208,G6_V1_3,203497.14568365854,1846
208,G6_V0_1,206441.8685602369,617
208,G6_V0_2,205637.23788731746,2319
208,G6_V0_3,208818.5952984455,2202
208,Const_100,205928.40700636685,682
208,Linear,204216.8919021052,6653
208,ReciprocalV1,210571.35091489836,2754
208,ReciprocalV2,207739.9618882125,7098
208,GeometricV1,207039.51808359474,8468
208,GeometricV2,208624.10259091374,2289
208,LogarithmicV1,205251.40615954768,15482
208,LogarithmicV2,208776.68975303648,11687
194,E,172775.2505433499,267
194,F_2,172625.32502284224,938
